country,Indicator Name,2021
Aruba,forest_land%,2.333333333
Africa Eastern and Southern,forest_land%,29.95519406
Afghanistan,forest_land%,1.852781994
Africa Western and Central,forest_land%,19.73203653
Angola,forest_land%,52.98172239
Albania,forest_land%,28.7919708
Andorra,forest_land%,34.04255319
Arab World,forest_land%,2.791120845
United Arab Emirates,forest_land%,4.467755562
Argentina,forest_land%,10.40076395
Armenia,forest_land%,11.53003161
American Samoa,forest_land%,85.5
Antigua and Barbuda,forest_land%,18.30295455
Australia,forest_land%,17.42131456
Austria,forest_land%,47.29447407
Azerbaijan,forest_land%,13.83299093
Burundi,forest_land%,10.8894081
Belgium,forest_land%,22.76420079
Benin,forest_land%,27.36032281
Burkina Faso,forest_land%,22.5380117
Bangladesh,forest_land%,14.46877161
Bulgaria,forest_land%,35.98010317
Bahrain,forest_land%,0.911392405
"Bahamas, The",forest_land%,50.93506494
Bosnia and Herzegovina,forest_land%,42.73261719
Belarus,forest_land%,43.27223454
Belize,forest_land%,55.49715037
Bermuda,forest_land%,18.51851852
Bolivia,forest_land%,46.72830546
Brazil,forest_land%,59.2705275
Barbados,forest_land%,14.65116279
Brunei Darussalam,forest_land%,72.10626186
Bhutan,forest_land%,71.50131096
Botswana,forest_land%,26.70830907
Central African Republic,forest_land%,35.7523516
Canada,forest_land%,39.47012793
Central Europe and the Baltics,forest_land%,34.58928004
Switzerland,forest_land%,32.20860332
Channel Islands,forest_land%,5.151515152
Chile,forest_land%,24.65747271
China,forest_land%,23.63152827
Cote d'Ivoire,forest_land%,8.565492767
Cameroon,forest_land%,42.91104483
"Congo, Dem. Rep.",forest_land%,55.16149326
"Congo, Rep.",forest_land%,64.21961933
Colombia,forest_land%,53.12539585
Comoros,forest_land%,17.45298227
Cabo Verde,forest_land%,11.41935484
Costa Rica,forest_land%,59.75793184
Caribbean small states,forest_land%,89.74855675
Cuba,forest_land%,31.23314066
Curacao,forest_land%,0.157657658
Cayman Islands,forest_land%,52.75
Cyprus,forest_land%,18.66991342
Czechia,forest_land%,34.70669802
