country,Indicator Name,2021,2022
Aruba,GDP_current_US,3103184102,3544707788
Africa Eastern and Southern,GDP_current_US,1.09E+12,1.19E+12
Afghanistan,GDP_current_US,14266499430,
Africa Western and Central,GDP_current_US,8.45E+11,8.75E+11
Angola,GDP_current_US,66505129989,1.07E+11
Albania,GDP_current_US,17930565119,18916378861
Andorra,GDP_current_US,3325143693,3352031094
Arab World,GDP_current_US,2.93E+12,3.54E+12
United Arab Emirates,GDP_current_US,4.15E+11,5.07E+11
Argentina,GDP_current_US,4.88E+11,6.31E+11
Armenia,GDP_current_US,13878908629,19513474648
American Samoa,GDP_current_US,750000000,871000000
Antigua and Barbuda,GDP_current_US,1601366667,1867733333
Australia,GDP_current_US,1.56E+12,1.69E+12
Austria,GDP_current_US,4.79E+11,4.71E+11
Azerbaijan,GDP_current_US,54825411765,78721058824
Burundi,GDP_current_US,2775798697,3338722828
Belgium,GDP_current_US,6.01E+11,5.83E+11
Benin,GDP_current_US,17687623535,17396792700
Burkina Faso,GDP_current_US,19642668880,18820064798
Bangladesh,GDP_current_US,4.16E+11,4.60E+11
Bulgaria,GDP_current_US,84041493016,90346169915
Bahrain,GDP_current_US,39288670213,44383297872
"Bahamas, The",GDP_current_US,11527600000,12897400000
Bosnia and Herzegovina,GDP_current_US,23649568277,24473906674
Belarus,GDP_current_US,69673747132,72793457588
Belize,GDP_current_US,2424575179,2830507576
Bermuda,GDP_current_US,7127200000,7546000000
Bolivia,GDP_current_US,40406111695,44008282878
Brazil,GDP_current_US,1.65E+12,1.92E+12
Barbados,GDP_current_US,4923100000,5699950000
Brunei Darussalam,GDP_current_US,14006496617,16681536467
Bhutan,GDP_current_US,2768003873,
Botswana,GDP_current_US,18737066311,20355541963
Central African Republic,GDP_current_US,2516498412,2382618615
Canada,GDP_current_US,2.01E+12,2.16E+12
Central Europe and the Baltics,GDP_current_US,1.91E+12,1.94E+12
Switzerland,GDP_current_US,8.13E+11,8.18E+11
Channel Islands,GDP_current_US,11735662220,
Chile,GDP_current_US,3.17E+11,3.01E+11
China,GDP_current_US,1.78E+13,1.80E+13
Cote d'Ivoire,GDP_current_US,71811075955,70018715017
Cameroon,GDP_current_US,44993521774,43644068311
"Congo, Dem. Rep.",GDP_current_US,55328482784,64718641221
"Congo, Rep.",GDP_current_US,14825708811,15816996655
Colombia,GDP_current_US,3.19E+11,3.44E+11
Comoros,GDP_current_US,1296089479,1242519407
Cabo Verde,GDP_current_US,1997866379,2226862134
Costa Rica,GDP_current_US,64960725734,69243626029
Caribbean small states,GDP_current_US,76123490343,94867024972
Cuba,GDP_current_US,,
Curacao,GDP_current_US,2739594360,3075180835
Cayman Islands,GDP_current_US,6028373513,6844827379
Cyprus,GDP_current_US,29482917679,29250524418
Czechia,GDP_current_US,2.82E+11,2.91E+11
Germany,GDP_current_US,4.28E+12,4.08E+12
Djibouti,GDP_current_US,3385825229,3515108860
Dominica,GDP_current_US,555266666.7,607440740.7
Denmark,GDP_current_US,4.06E+11,4.00E+11
Dominican Republic,GDP_current_US,94243425938,1.14E+11
Algeria,GDP_current_US,1.63E+11,1.95E+11
East Asia & Pacific (excluding high income),GDP_current_US,2.08E+13,2.12E+13
Early-demographic dividend,GDP_current_US,1.27E+13,1.41E+13
East Asia & Pacific,GDP_current_US,3.11E+13,3.07E+13
Europe & Central Asia (excluding high income),GDP_current_US,3.58E+12,4.13E+12
Europe & Central Asia,GDP_current_US,2.53E+13,2.53E+13
Ecuador,GDP_current_US,1.06E+11,1.15E+11
"Egypt, Arab Rep.",GDP_current_US,4.25E+11,4.77E+11
Euro area,GDP_current_US,1.48E+13,1.42E+13
Eritrea,GDP_current_US,,
Spain,GDP_current_US,1.45E+12,1.42E+12
Estonia,GDP_current_US,37191166152,38100812959
Ethiopia,GDP_current_US,1.11E+11,1.27E+11
European Union,GDP_current_US,1.73E+13,1.67E+13
Fragile and conflict affected situations,GDP_current_US,1.78E+12,1.91E+12
Finland,GDP_current_US,2.96E+11,2.83E+11
Fiji,GDP_current_US,4305031631,4979979546
France,GDP_current_US,2.96E+12,2.78E+12
Faroe Islands,GDP_current_US,3655063938,3555929833
"Micronesia, Fed. Sts.",GDP_current_US,406000000,424000000
Gabon,GDP_current_US,20217946922,21071739225
United Kingdom,GDP_current_US,3.14E+12,3.09E+12
Georgia,GDP_current_US,18629365612,24780791064
Ghana,GDP_current_US,79524421861,73766052452
Gibraltar,GDP_current_US,,
Guinea,GDP_current_US,16091817842,20999229260
"Gambia, The",GDP_current_US,2038414969,2187194563
Guinea-Bissau,GDP_current_US,1638517607,1633559092
Equatorial Guinea,GDP_current_US,12104994084,12029633747
Greece,GDP_current_US,2.15E+11,2.18E+11
Grenada,GDP_current_US,1122800000,1215379156
Greenland,GDP_current_US,3235809504,
Guatemala,GDP_current_US,86053083476,95003330316
Guam,GDP_current_US,6123000000,
Guyana,GDP_current_US,8041362110,14718388489
High income,GDP_current_US,6.02E+13,6.17E+13
"Hong Kong SAR, China",GDP_current_US,3.69E+11,3.60E+11
Honduras,GDP_current_US,28488721681,31717699764
Heavily indebted poor countries (HIPC),GDP_current_US,9.02E+11,9.81E+11
Croatia,GDP_current_US,69081236641,71600049650
Haiti,GDP_current_US,20877414953,20253551885
Hungary,GDP_current_US,1.82E+11,1.77E+11
IBRD only,GDP_current_US,3.57E+13,3.78E+13
IDA & IBRD total,GDP_current_US,3.83E+13,4.06E+13
IDA total,GDP_current_US,2.63E+12,2.82E+12
IDA blend,GDP_current_US,1.10E+12,1.18E+12
Indonesia,GDP_current_US,1.19E+12,1.32E+12
IDA only,GDP_current_US,1.53E+12,1.65E+12
Isle of Man,GDP_current_US,,
India,GDP_current_US,3.15E+12,3.42E+12
Not classified,GDP_current_US,,
Ireland,GDP_current_US,5.13E+11,5.33E+11
"Iran, Islamic Rep.",GDP_current_US,3.59E+11,4.13E+11
Iraq,GDP_current_US,2.08E+11,2.64E+11
Iceland,GDP_current_US,25595940170,28064529851
Israel,GDP_current_US,4.89E+11,5.25E+11
Italy,GDP_current_US,2.16E+12,2.05E+12
Jamaica,GDP_current_US,14657586127,17097760724
Jordan,GDP_current_US,46296100141,48653381781
Japan,GDP_current_US,5.03E+12,4.26E+12
Kazakhstan,GDP_current_US,1.97E+11,2.25E+11
Kenya,GDP_current_US,1.10E+11,1.13E+11
Kyrgyz Republic,GDP_current_US,9249133946,11543966559
Cambodia,GDP_current_US,26961061152,29504829319
Kiribati,GDP_current_US,227610079.1,223353014.3
St. Kitts and Nevis,GDP_current_US,858592592.6,965638864.9
"Korea, Rep.",GDP_current_US,1.82E+12,1.67E+12
Kuwait,GDP_current_US,1.37E+11,1.75E+11
Latin America & Caribbean (excluding high income),GDP_current_US,4.67E+12,5.35E+12
Lao PDR,GDP_current_US,18827148529,15468785204
Lebanon,GDP_current_US,23131941557,
Liberia,GDP_current_US,3509000000,4001046970
Libya,GDP_current_US,39798423941,45752336036
St. Lucia,GDP_current_US,1961111111,2343703704
Latin America & Caribbean,GDP_current_US,5.55E+12,6.30E+12
Least developed countries: UN classification,GDP_current_US,1.27E+12,1.42E+12
Low income,GDP_current_US,4.65E+11,5.28E+11
Liechtenstein,GDP_current_US,7710380086,
Sri Lanka,GDP_current_US,88548049121,74403578363
Lower middle income,GDP_current_US,7.60E+12,8.17E+12
Low & middle income,GDP_current_US,3.66E+13,3.88E+13
Lesotho,GDP_current_US,2348771013,2236502124
Late-demographic dividend,GDP_current_US,2.68E+13,2.81E+13
Lithuania,GDP_current_US,66798933786,70974490450
Luxembourg,GDP_current_US,85584105994,81641807866
Latvia,GDP_current_US,39443126174,40932030050
"Macao SAR, China",GDP_current_US,30969334705,24042287327
St. Martin (French part),GDP_current_US,649206262.8,
Morocco,GDP_current_US,1.42E+11,1.31E+11
Monaco,GDP_current_US,8626081321,8784002932
Moldova,GDP_current_US,13692230147,14508333280
Madagascar,GDP_current_US,14554754117,15297192799
Maldives,GDP_current_US,5254366310,6170638747
Middle East & North Africa,GDP_current_US,3.74E+12,4.43E+12
Mexico,GDP_current_US,1.31E+12,1.47E+12
Marshall Islands,GDP_current_US,257784881.6,258774475.1
Middle income,GDP_current_US,3.61E+13,3.83E+13
North Macedonia,GDP_current_US,13998355971,13563132102
Mali,GDP_current_US,19309463508,18827176530
Malta,GDP_current_US,18087205251,18125564514
Myanmar,GDP_current_US,66262813093,62263466264
Middle East & North Africa (excluding high income),GDP_current_US,1.50E+12,1.70E+12
Montenegro,GDP_current_US,5861427505,6229801581
Mongolia,GDP_current_US,15286441738,17146471626
Northern Mariana Islands,GDP_current_US,,
Mozambique,GDP_current_US,16168056389,18406835955
Mauritania,GDP_current_US,9222536364,9780863579
Mauritius,GDP_current_US,11484357948,12948726654
Malawi,GDP_current_US,12602334122,13164667627
Malaysia,GDP_current_US,3.74E+11,4.07E+11
North America,GDP_current_US,2.53E+13,2.76E+13
Namibia,GDP_current_US,12446290855,12914932656
New Caledonia,GDP_current_US,10071349664,9623318718
Niger,GDP_current_US,14915002436,15342278919
Nigeria,GDP_current_US,4.41E+11,4.73E+11
Nicaragua,GDP_current_US,14145880399,15671583940
Netherlands,GDP_current_US,1.03E+12,1.01E+12
Norway,GDP_current_US,5.03E+11,5.93E+11
Nepal,GDP_current_US,36924841429,40828247304
Nauru,GDP_current_US,145536615.9,151647846.1
New Zealand,GDP_current_US,2.56E+11,2.48E+11
OECD members,GDP_current_US,5.86E+13,5.98E+13
Oman,GDP_current_US,88191977373,1.15E+11
Other small states,GDP_current_US,4.57E+11,5.31E+11
Pakistan,GDP_current_US,3.49E+11,3.75E+11
Panama,GDP_current_US,67406738100,76522511800
Peru,GDP_current_US,2.24E+11,2.43E+11
Philippines,GDP_current_US,3.94E+11,4.04E+11
Palau,GDP_current_US,232903015.6,
Papua New Guinea,GDP_current_US,26113333245,31603619042
Poland,GDP_current_US,6.81E+11,6.88E+11
Pre-demographic dividend,GDP_current_US,1.43E+12,1.62E+12
Puerto Rico,GDP_current_US,1.06E+11,1.13E+11
"Korea, Dem. People's Rep.",GDP_current_US,,
Portugal,GDP_current_US,2.56E+11,2.55E+11
