country,Indicator Name,2021
Aruba,agricultural_land%,11.11111111
Africa Eastern and Southern,agricultural_land%,46.48577931
Afghanistan,agricultural_land%,58.74154823
Africa Western and Central,agricultural_land%,40.25936158
Angola,agricultural_land%,36.81479105
Albania,agricultural_land%,41.47189781
Andorra,agricultural_land%,39.90680851
Arab World,agricultural_land%,39.97074236
United Arab Emirates,agricultural_land%,5.513397634
Argentina,agricultural_land%,43.10234616
Armenia,agricultural_land%,58.82753776
American Samoa,agricultural_land%,14.5
Antigua and Barbuda,agricultural_land%,20.45454545
Australia,agricultural_land%,47.2592375
Austria,agricultural_land%,31.47672564
Azerbaijan,agricultural_land%,57.8415003
Burundi,agricultural_land%,81.89252336
Belgium,agricultural_land%,45.10138705
Benin,agricultural_land%,35.03015254
Burkina Faso,agricultural_land%,46.56432749
Bangladesh,agricultural_land%,77.34501037
Bulgaria,agricultural_land%,46.48670965
Bahrain,agricultural_land%,10.25316456
"Bahamas, The",agricultural_land%,1.298701299
Bosnia and Herzegovina,agricultural_land%,44.19921875
Belarus,agricultural_land%,40.27593003
Belize,agricultural_land%,7.978956598
Bermuda,agricultural_land%,5.555555556
Bolivia,agricultural_land%,35.1881909
Brazil,agricultural_land%,28.63909446
Barbados,agricultural_land%,23.25581395
Brunei Darussalam,agricultural_land%,2.542694497
Bhutan,agricultural_land%,13.45044573
Botswana,agricultural_land%,45.63372329
Central African Republic,agricultural_land%,7.88147292
Canada,agricultural_land%,6.484576786
Central Europe and the Baltics,agricultural_land%,46.18865434
Switzerland,agricultural_land%,37.94969226
Channel Islands,agricultural_land%,43.28282828
Chile,agricultural_land%,14.25027706
China,agricultural_land%,55.46264943
Cote d'Ivoire,agricultural_land%,73.89937107
Cameroon,agricultural_land%,20.62575363
"Congo, Dem. Rep.",agricultural_land%,14.95247127
"Congo, Rep.",agricultural_land%,31.26793558
Colombia,agricultural_land%,38.50202794
Comoros,agricultural_land%,71.46695325
Cabo Verde,agricultural_land%,19.60297767
Costa Rica,agricultural_land%,35.46807677
Caribbean small states,agricultural_land%,4.599086081
Cuba,agricultural_land%,61.66666667
Curacao,agricultural_land%,
Cayman Islands,agricultural_land%,11.25
Cyprus,agricultural_land%,13.32628788
Czechia,agricultural_land%,45.73056051
Germany,agricultural_land%,47.48561779
Djibouti,agricultural_land%,73.50733391
Dominica,agricultural_land%,33.33333333
Denmark,agricultural_land%,65.45
Dominican Republic,agricultural_land%,51.10349035
